ID,acname,acqualifier,acvalue,Smiles,Source,dois,standardized,pIC50
118414389,IC50,=,1e-10,CC[C@H]1[C@H](NC(=O)[C@@H]1F)COC2=NC=CC3=CC(=C(C=C32)OC)C(=O)N,pubchem,10.1021/acs.jmedchem.7b00231,CCC1C(COc2nccc3cc(C(N)=O)c(OC)cc23)NC(=O)C1F,10.0
163396372,IC50,=,1e-10,CN1C(=O)CCC12CCC(CC2)N3C=C4C=C(C(=CC4=N3)OC)C(=O)NC5=CN=C6N5N=CC=C6,pubchem,10.1021/acsmedchemlett.2c00324,COc1cc2nn(C3CCC4(CCC(=O)N4C)CC3)cc2cc1C(=O)Nc1cnc2cccnn12,10.0
163396321,IC50,=,2e-10,CN1CC2(CCC(CC2)N3C=C4C=C(C(=CC4=N3)OC)C(=O)NC5=CN=C6N5N=CC=C6)CC1=O,pubchem,10.1021/acsmedchemlett.2c00324,COc1cc2nn(C3CCC4(CC3)CC(=O)N(C)C4)cc2cc1C(=O)Nc1cnc2cccnn12,9.699
122196067,IC50,=,2e-10,CN1C=C(C(=N1)C(F)F)NC(=O)C2=CSC3=NC=C(N=C23)N[C@@H]4CCCC[C@@H]4N,pubchem,10.1016/j.bmcl.2015.09.028,Cn1cc(NC(=O)c2csc3ncc(NC4CCCCC4N)nc23)c(C(F)F)n1,9.699
126622195,IC50,=,2e-10,CC[C@H]1[C@H](NC(=O)[C@H]1F)COC2=CC=CC3=CC(=C(C=C32)OC)C(=O)N,pubchem,10.1016/j.ejmech.2018.11.072,CCC1C(COc2cccc3cc(C(N)=O)c(OC)cc23)NC(=O)C1F,9.699
168287670,IC50,=,2e-10,C[C@H](C(=O)N(C)C1CCC(CC1)N2C=C3C=C(C(=CC3=N2)OC)C(=O)NC4=CN=C5N4N=CC=C5)O,pubchem,10.1021/acsmedchemlett.2c00324,COc1cc2nn(C3CCC(N(C)C(=O)C(C)O)CC3)cc2cc1C(=O)Nc1cnc2cccnn12,9.699
122181631,IC50,=,2e-10,CN1C=C(C(=N1)C(F)F)NC(=O)C2=C3N=C(C=CN3N=C2)N[C@@H]4CCCC[C@@H]4N,pubchem,10.1021/acsmedchemlett.5b00107,Cn1cc(NC(=O)c2cnn3ccc(NC4CCCCC4N)nc23)c(C(F)F)n1,9.699
163396268,IC50,=,2e-10,CC(=O)N(C)C1CCC(CC1)N2C=C3C=C(C(=CC3=N2)OC)C(=O)NC4=CN=C5N4N=CC=C5,pubchem,10.1021/acsmedchemlett.2c00324,COc1cc2nn(C3CCC(N(C)C(C)=O)CC3)cc2cc1C(=O)Nc1cnc2cccnn12,9.699
118719436,IC50,=,2.4e-10,CN1C=C(C(=N1)C(=O)N)NC(=O)C2=COC(=N2)C3=CC(=NC=C3)NCC(F)(F)F.Cl,pubchem,10.1021/jm5016044,Cn1cc(NC(=O)c2coc(-c3ccnc(NCC(F)(F)F)c3)n2)c(C(N)=O)n1,9.6198
118414536,IC50,=,3e-10,C[C@H]1[C@H](NC(=O)[C@H]1F)COC2=NC=CC3=CC(=C(C=C32)OC)C(=O)N,pubchem,10.1021/acs.jmedchem.7b00231,COc1cc2c(OCC3NC(=O)C(F)C3C)nccc2cc1C(N)=O,9.5229
